id,chain_blocks,generated_blocks,is_fast,hash_power
1,0,0,1,0.00925926
2,0,0,1,0.00925926
3,3,3,1,0.00925926
4,3,3,1,0.0462963
5,1,1,0,0.00925926
6,10,10,1,0.0462963
7,5,5,1,0.0462963
8,5,5,1,0.0462963
9,1,1,0,0.00925926
10,0,0,1,0.00925926
11,4,4,1,0.0462963
12,0,0,1,0.00925926
13,0,0,0,0.00925926
14,3,3,0,0.0462963
15,0,0,1,0.00925926
16,4,4,0,0.00925926
17,0,0,1,0.00925926
18,3,3,1,0.0462963
19,2,2,1,0.00925926
20,0,0,1,0.00925926
21,6,6,0,0.0462963
22,4,4,0,0.0462963
23,1,1,0,0.00925926
24,6,6,1,0.0462963
25,1,1,0,0.00925926
26,7,7,0,0.0462963
27,6,6,0,0.0462963
28,4,4,0,0.0462963
29,1,1,1,0.00925926
30,1,1,0,0.00925926
31,4,4,1,0.0462963
32,0,0,1,0.00925926
33,0,0,0,0.00925926
34,3,3,1,0.0462963
35,1,1,1,0.00925926
36,2,2,1,0.0462963
37,0,0,1,0.00925926
38,2,2,1,0.00925926
39,3,3,0,0.0462963
40,1,1,0,0.00925926
